Area_Name,Year,Group_Code,Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Andhra Pradesh,2005,8, Criminal Breach of Trust,47,348,15059030,60887542
Andhra Pradesh,2006,1,Cattle,449,598,7594405,9928645
Andhra Pradesh,2006,2, Electronic Components,1452,2547,40521323,65891103
Andhra Pradesh,2006,3, Cultural Property including Antiques,271,479,33466283,51630450
Andhra Pradesh,2006,4,Motor Vehicles,2948,3962,14984187,34287526
Andhra Pradesh,2006,5, Fire Arms/Explosive Substances,4332,10800,203624682,359268982
Andhra Pradesh,2006,6, Other Property,10104,20911,297201136,748598950
Andhra Pradesh,2006,7, Robbery,13203,24054,274376216,589631278
Andhra Pradesh,2006,8, Criminal Breach of Trust,63,396,13934804,87652602
Andhra Pradesh,2007,1,Cattle,483,593,8982110,11289433
Andhra Pradesh,2007,2, Electronic Components,1438,2308,40187844,60065437
Andhra Pradesh,2007,3, Cultural Property including Antiques,196,390,35054775,45061420
Andhra Pradesh,2007,4,Motor Vehicles,2334,2946,17416455,28469689
Andhra Pradesh,2007,5, Fire Arms/Explosive Substances,5682,12608,308410624,500147536
Andhra Pradesh,2007,6, Other Property,10976,21140,274969520,643633983
Andhra Pradesh,2007,7, Robbery,13686,24598,359925717,606345933
Andhra Pradesh,2007,8, Criminal Breach of Trust,53,278,10588289,63766044
Andhra Pradesh,2008,1,Cattle,438,511,12589120,15365950
Andhra Pradesh,2008,2, Electronic Components,1465,2195,34085927,53553535
Andhra Pradesh,2008,3, Cultural Property including Antiques,330,555,58350069,90014691
Andhra Pradesh,2008,4,Motor Vehicles,1756,2176,8997190,14374934
Andhra Pradesh,2008,5, Fire Arms/Explosive Substances,7622,15696,375746646,618394260
Andhra Pradesh,2008,6, Other Property,11431,22475,350168968,866726579
Andhra Pradesh,2008,7, Robbery,13871,25031,433174102,795361711
Andhra Pradesh,2008,8, Criminal Breach of Trust,109,329,10702595,76445367
Andhra Pradesh,2009,1,Cattle,435,556,12262020,17689820
Andhra Pradesh,2009,2, Electronic Components,913,1581,48059843,71042289
Andhra Pradesh,2009,3, Cultural Property including Antiques,396,576,51800088,65889450
Andhra Pradesh,2009,4,Motor Vehicles,1765,2198,16745061,28989938
Andhra Pradesh,2009,5, Fire Arms/Explosive Substances,8548,16504,457694606,652744862
Andhra Pradesh,2009,6, Other Property,10564,21446,380345299,1024796615
Andhra Pradesh,2009,7, Robbery,13494,24559,482301594,855991589
Andhra Pradesh,2009,8, Criminal Breach of Trust,160,466,38183752,152390321
Andhra Pradesh,2010,1,Cattle,387,476,10429060,12249530
Andhra Pradesh,2010,2, Electronic Components,1362,1855,36523345,57732313
Andhra Pradesh,2010,3, Cultural Property including Antiques,625,704,49668566,67374677
Andhra Pradesh,2010,4,Motor Vehicles,1437,1872,18947188,36437201
Andhra Pradesh,2010,5, Fire Arms/Explosive Substances,10906,14844,332122306,504389950
Andhra Pradesh,2010,6, Other Property,11835,26224,527164082,1232902677
Andhra Pradesh,2010,7, Robbery,15514,27024,534423394,956369659
Andhra Pradesh,2010,8, Criminal Breach of Trust,113,417,15315562,101817765
Arunachal Pradesh,2001,1,Cattle,22,34,135500,704500
Arunachal Pradesh,2001,2, Electronic Components,16,55,1394800,3265330
Arunachal Pradesh,2001,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2001,4,Motor Vehicles,23,51,178050,797059
Arunachal Pradesh,2001,5, Fire Arms/Explosive Substances,54,72,4671200,7134000
Arunachal Pradesh,2001,6, Other Property,219,711,6804630,53074263
Arunachal Pradesh,2001,7, Robbery,229,549,8183005,20898920
Arunachal Pradesh,2002,1,Cattle,14,24,120000,183900
Arunachal Pradesh,2002,2, Electronic Components,14,34,912252,1531084
Arunachal Pradesh,2002,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2002,4,Motor Vehicles,20,39,157649,1059164
Arunachal Pradesh,2002,5, Fire Arms/Explosive Substances,42,102,7670000,9694000
Arunachal Pradesh,2002,6, Other Property,249,707,12822754,38278688
Arunachal Pradesh,2002,7, Robbery,198,513,6651072,22751184
Arunachal Pradesh,2003,1,Cattle,5,8,36000,67800
Arunachal Pradesh,2003,2, Electronic Components,34,90,384470,1372900
Arunachal Pradesh,2003,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2003,4,Motor Vehicles,34,76,10877921,13772561
Arunachal Pradesh,2003,5, Fire Arms/Explosive Substances,24,100,1430000,5207000
Arunachal Pradesh,2003,6, Other Property,195,581,5553119,29565723
Arunachal Pradesh,2003,7, Robbery,162,467,4245534,18145374
Arunachal Pradesh,2004,1,Cattle,17,22,147500,221500
Arunachal Pradesh,2004,2, Electronic Components,4,25,71050,560260
Arunachal Pradesh,2004,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2004,4,Motor Vehicles,16,54,639818,1897770
Arunachal Pradesh,2004,5, Fire Arms/Explosive Substances,62,150,4303040,7261592
Arunachal Pradesh,2004,6, Other Property,124,580,3390865,23582467
Arunachal Pradesh,2004,7, Robbery,130,463,4737522,16548007
Arunachal Pradesh,2005,1,Cattle,8,16,334000,403500
Arunachal Pradesh,2005,2, Electronic Components,14,51,802169,5932775
Arunachal Pradesh,2005,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2005,4,Motor Vehicles,22,51,627134,2357004
Arunachal Pradesh,2005,5, Fire Arms/Explosive Substances,66,238,2922000,18109000
Arunachal Pradesh,2005,6, Other Property,174,733,8075348,91812381
Arunachal Pradesh,2005,7, Robbery,181,631,8144080,38798254
Arunachal Pradesh,2005,8, Criminal Breach of Trust,7,36,1170875,55772925
Arunachal Pradesh,2006,1,Cattle,19,22,155700,187200
Arunachal Pradesh,2006,2, Electronic Components,12,42,161743,1550911
Arunachal Pradesh,2006,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2006,4,Motor Vehicles,22,51,1118410,2415125
Arunachal Pradesh,2006,5, Fire Arms/Explosive Substances,44,148,2253200,8711862
Arunachal Pradesh,2006,6, Other Property,264,698,9013531,41005639
Arunachal Pradesh,2006,7, Robbery,219,553,6493720,21250907
Arunachal Pradesh,2006,8, Criminal Breach of Trust,23,45,1603077,10552823
Arunachal Pradesh,2007,1,Cattle,24,39,571900,1562400
Arunachal Pradesh,2007,2, Electronic Components,25,77,2572180,9174889
Arunachal Pradesh,2007,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2007,4,Motor Vehicles,20,67,828100,5942743
Arunachal Pradesh,2007,5, Fire Arms/Explosive Substances,126,232,10704742,41112230
Arunachal Pradesh,2007,6, Other Property,262,620,12421512,69787717
Arunachal Pradesh,2007,7, Robbery,275,604,11799656,33368842
Arunachal Pradesh,2007,8, Criminal Breach of Trust,17,41,3274206,51346151
Arunachal Pradesh,2008,1,Cattle,11,12,261500,263057
Arunachal Pradesh,2008,2, Electronic Components,32,76,1997350,4580387
Arunachal Pradesh,2008,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2008,4,Motor Vehicles,29,71,1021780,4422600
Arunachal Pradesh,2008,5, Fire Arms/Explosive Substances,74,120,5273540,15206340
Arunachal Pradesh,2008,6, Other Property,330,714,20317774,77287422
Arunachal Pradesh,2008,7, Robbery,267,538,10610823,54114024
Arunachal Pradesh,2008,8, Criminal Breach of Trust,14,43,9690740,23736222
Arunachal Pradesh,2009,1,Cattle,16,20,972300,982800
Arunachal Pradesh,2009,2, Electronic Components,15,47,224300,1033800
Arunachal Pradesh,2009,3, Cultural Property including Antiques,0,0,0,0
Arunachal Pradesh,2009,4,Motor Vehicles,45,94,1078150,6023650
Arunachal Pradesh,2009,5, Fire Arms/Explosive Substances,68,218,3494000,17817200
Arunachal Pradesh,2009,6, Other Property,226,491,164896675,233508085
Arunachal Pradesh,2009,7, Robbery,219,456,9183390,37704347
Arunachal Pradesh,2009,8, Criminal Breach of Trust,14,38,3314510,44973410
Arunachal Pradesh,2010,1,Cattle,21,34,906370,1748700
Arunachal Pradesh,2010,2, Electronic Components,5,36,680000,6805753
Arunachal Pradesh,2010,3, Cultural Property including Antiques,0,1,0,551000
Arunachal Pradesh,2010,4,Motor Vehicles,31,100,1193995,4907907
Arunachal Pradesh,2010,5, Fire Arms/Explosive Substances,92,278,5090000,36434700
Arunachal Pradesh,2010,6, Other Property,192,559,37503627,188060971
Arunachal Pradesh,2010,7, Robbery,193,529,16074187,44797067
Arunachal Pradesh,2010,8, Criminal Breach of Trust,20,59,19048720,114314139
Assam,2001,1,Cattle,149,322,683350,1816386
Assam,2001,2, Electronic Components,49,146,974934,7721045
Assam,2001,3, Cultural Property including Antiques,51,218,2953950,10741828
Assam,2001,4,Motor Vehicles,263,815,917681,4920527
Assam,2001,5, Fire Arms/Explosive Substances,298,876,9146244,43093640
Assam,2001,6, Other Property,1691,8467,21493789,101562694
Assam,2001,7, Robbery,1425,6586,15834625,70472902
Assam,2002,1,Cattle,290,562,1260985,2875882
Assam,2002,2, Electronic Components,47,158,1071567,3355727
Assam,2002,3, Cultural Property including Antiques,48,173,7350290,25838650
Assam,2002,4,Motor Vehicles,435,1058,1365014,3443251
Assam,2002,5, Fire Arms/Explosive Substances,340,1200,23470398,76379500
Assam,2002,6, Other Property,1541,8485,17477397,103595609
Assam,2002,7, Robbery,1474,6635,21739618,93105295
Assam,2003,1,Cattle,197,492,736368,2590673
Assam,2003,2, Electronic Components,164,542,8348076,29301884
Assam,2003,3, Cultural Property including Antiques,7,49,1132500,5849580
Assam,2003,4,Motor Vehicles,411,1334,594609,3540388
Assam,2003,5, Fire Arms/Explosive Substances,264,1090,22818754,85436932
Assam,2003,6, Other Property,1636,8157,43744259,149757645
Assam,2003,7, Robbery,1443,6519,41733620,130600353
Assam,2004,1,Cattle,170,467,627700,1288236
Assam,2004,2, Electronic Components,144,463,5878231,29434043
Assam,2004,3, Cultural Property including Antiques,24,122,1700000,9943100
Assam,2004,4,Motor Vehicles,316,1033,1219070,3918763
Assam,2004,5, Fire Arms/Explosive Substances,290,1394,17586520,90951538
Assam,2004,6, Other Property,1741,8857,27811709,171842119
Assam,2004,7, Robbery,1557,6731,21348988,104045134
Assam,2005,1,Cattle,132,282,693900,1283000
Assam,2005,2, Electronic Components,94,307,8300380,27619900
Assam,2005,3, Cultural Property including Antiques,14,61,2065500,12981050
Assam,2005,4,Motor Vehicles,345,738,492015,1270899
Assam,2005,5, Fire Arms/Explosive Substances,346,1034,30235000,106209840
Assam,2005,6, Other Property,2401,9558,41638668,179015873
Assam,2005,7, Robbery,2043,7154,37791746,149540567
Assam,2005,8, Criminal Breach of Trust,89,487,3320562,37840904
Assam,2006,1,Cattle,139,333,688000,1401645
Assam,2006,2, Electronic Components,179,654,53469080,153354154
Assam,2006,3, Cultural Property including Antiques,88,322,25506475,37169585
Assam,2006,4,Motor Vehicles,332,848,18142697,42469685
Assam,2006,5, Fire Arms/Explosive Substances,906,2810,190692230,451157142
Assam,2006,6, Other Property,2426,10280,76056374,257311757
Assam,2006,7, Robbery,2270,8683,159846578,400883298
Assam,2006,8, Criminal Breach of Trust,79,461,3485175,68198861
Assam,2007,1,Cattle,170,392,554900,1477000
Assam,2007,2, Electronic Components,153,518,14821204,40122840
Assam,2007,3, Cultural Property including Antiques,350,992,7256460,20343050
Assam,2007,4,Motor Vehicles,298,733,706388,2034800
Assam,2007,5, Fire Arms/Explosive Substances,1194,3602,59407410,149313640
Assam,2007,6, Other Property,2617,20633,33005035,160429392
Assam,2007,7, Robbery,2499,8549,43813264,131909559
Assam,2007,8, Criminal Breach of Trust,56,653,1581103,34040085
Assam,2008,1,Cattle,365,590,918830,1790180
Assam,2008,2, Electronic Components,281,983,15780366,78975451
Assam,2008,3, Cultural Property including Antiques,26,115,6278673,17780464
Assam,2008,4,Motor Vehicles,778,1506,1743479,3864645
Assam,2008,5, Fire Arms/Explosive Substances,596,3756,54383534,276480584
Assam,2008,6, Other Property,2620,10624,48570784,230468213
Assam,2008,7, Robbery,2667,8892,51302689,198748003
Assam,2008,8, Criminal Breach of Trust,114,680,5186080,44107861
Assam,2009,1,Cattle,323,622,2158100,4290476
Assam,2009,2, Electronic Components,142,677,60246019,141124250
Assam,2009,3, Cultural Property including Antiques,31,143,9070050,31046431
Assam,2009,4,Motor Vehicles,480,1250,4826510,21709325
Assam,2009,5, Fire Arms/Explosive Substances,654,3418,153696398,472969162
Assam,2009,6, Other Property,2232,10237,66402702,266680570
Assam,2009,7, Robbery,2436,8575,122780173,423083170
Assam,2009,8, Criminal Breach of Trust,39,802,3101060,39718582
Assam,2010,1,Cattle,142,346,4955130,6283060
Assam,2010,2, Electronic Components,128,597,5448137,19885624
Assam,2010,3, Cultural Property including Antiques,12,45,4294950,13152706
Assam,2010,4,Motor Vehicles,256,830,1120989,3751172
Assam,2010,5, Fire Arms/Explosive Substances,332,1200,23837444,86358146
Assam,2010,6, Other Property,1418,11898,90467313,382539175
Assam,2010,7, Robbery,1512,8770,92212103,346059356
Assam,2010,8, Criminal Breach of Trust,41,992,1646451,27018001
Bihar,2001,1,Cattle,144,334,896019,1911068
Bihar,2001,2, Electronic Components,113,553,11561262,45613494
Bihar,2001,3, Cultural Property including Antiques,2,15,857500,4755992
Bihar,2001,4,Motor Vehicles,295,952,1650322,4086013
Bihar,2001,5, Fire Arms/Explosive Substances,500,2272,37830844,164637134
Bihar,2001,6, Other Property,2883,16867,30231770,341953003
Bihar,2001,7, Robbery,2617,13186,39518125,386534262
Bihar,2002,1,Cattle,143,366,847961,1916398
Bihar,2002,2, Electronic Components,140,541,10994858,35519000
Bihar,2002,3, Cultural Property including Antiques,14,30,6314360,9134467
Bihar,2002,4,Motor Vehicles,248,957,1167565,4731474
Bihar,2002,5, Fire Arms/Explosive Substances,528,2296,46595600,149401370
Bihar,2002,6, Other Property,2703,17659,22708926,173110764
Bihar,2002,7, Robbery,2581,13721,42315545,208854556
Bihar,2003,1,Cattle,123,362,526508,2409618
Bihar,2003,2, Electronic Components,100,484,8433210,39987965
Bihar,2003,3, Cultural Property including Antiques,12,24,2372545,5302660
Bihar,2003,4,Motor Vehicles,198,742,1469733,6101195
Bihar,2003,5, Fire Arms/Explosive Substances,574,2650,36258740,121393240
Bihar,2003,6, Other Property,2502,17757,21234513,204952605
Bihar,2003,7, Robbery,2443,13788,38010055,240013696
Bihar,2004,1,Cattle,82,292,456957,1858425
Bihar,2004,2, Electronic Components,77,457,9449989,40249187
Bihar,2004,3, Cultural Property including Antiques,23,69,5506436,24106562
Bihar,2004,4,Motor Vehicles,288,3991,4917584,36438760
Bihar,2004,5, Fire Arms/Explosive Substances,624,4166,52374884,255231288
Bihar,2004,6, Other Property,2876,16419,35029982,244583663
Bihar,2004,7, Robbery,2546,15418,51102623,305810726
Bihar,2005,1,Cattle,84,351,591480,2277664
Bihar,2005,2, Electronic Components,67,401,8101324,30471239
Bihar,2005,3, Cultural Property including Antiques,8,68,7087000,17528736
Bihar,2005,4,Motor Vehicles,167,831,705634,3955531
Bihar,2005,5, Fire Arms/Explosive Substances,452,4268,42357192,230777802
Bihar,2005,6, Other Property,3072,17700,33009609,202009113
Bihar,2005,7, Robbery,2479,14398,40527514,238213141
Bihar,2005,8, Criminal Breach of Trust,27,1181,1644236,15356354
Bihar,2006,1,Cattle,101,296,825272,2433400
Bihar,2006,2, Electronic Components,86,389,8641494,19298895
Bihar,2006,3, Cultural Property including Antiques,16,274,3326859,12979635
Bihar,2006,4,Motor Vehicles,180,777,828193,3810132
Bihar,2006,5, Fire Arms/Explosive Substances,624,4046,39416910,140660562
Bihar,2006,6, Other Property,2893,17721,26660713,217704877
Bihar,2006,7, Robbery,2421,14922,36985477,205427675
Bihar,2006,8, Criminal Breach of Trust,30,1042,1563838,25004534
Bihar,2007,1,Cattle,67,261,542413,2239425
Bihar,2007,2, Electronic Components,81,465,4814419,24686035
Bihar,2007,3, Cultural Property including Antiques,41,461,3601954,14497885
Bihar,2007,4,Motor Vehicles,155,709,1058946,7071701
Bihar,2007,5, Fire Arms/Explosive Substances,646,4784,28980158,158782632
Bihar,2007,6, Other Property,2477,16386,37828395,234832475
Bihar,2007,7, Robbery,2155,14268,46256013,249784291
Bihar,2007,8, Criminal Breach of Trust,26,1309,1318034,14712214
Bihar,2008,1,Cattle,68,282,565072,1957632
Bihar,2008,2, Electronic Components,102,643,6005906,33293983
Bihar,2008,3, Cultural Property including Antiques,20,96,2953777,12837789
Bihar,2008,4,Motor Vehicles,525,1591,2158679,17644173
Bihar,2008,5, Fire Arms/Explosive Substances,782,5350,37203210,245585944
Bihar,2008,6, Other Property,2575,17341,35442562,317389234
Bihar,2008,7, Robbery,2816,15484,47986958,394359141
Bihar,2008,8, Criminal Breach of Trust,94,1352,1290244,19375909
Bihar,2009,1,Cattle,79,257,771390,3170331
Bihar,2009,2, Electronic Components,105,768,10709111,83537225
Bihar,2009,3, Cultural Property including Antiques,35,212,6626471,31621160
Bihar,2009,4,Motor Vehicles,365,1184,1473602,11674560
Bihar,2009,5, Fire Arms/Explosive Substances,828,7348,54045868,410485058
Bihar,2009,6, Other Property,2794,18761,43231899,283851651
Bihar,2009,7, Robbery,2718,17494,63658592,426381469
Bihar,2009,8, Criminal Breach of Trust,37,1186,3445872,20075889
Bihar,2010,1,Cattle,73,272,1076460,3895005
Bihar,2010,2, Electronic Components,96,876,10304159,107588142
Bihar,2010,3, Cultural Property including Antiques,31,336,7766127,39490056
Bihar,2010,4,Motor Vehicles,276,1162,2462585,13721269
Bihar,2010,5, Fire Arms/Explosive Substances,800,8542,61336454,492320062
Bihar,2010,6, Other Property,2516,16999,40366861,279988573
Bihar,2010,7, Robbery,2672,17726,68510810,471062335
Bihar,2010,8, Criminal Breach of Trust,35,1071,464781,13148146
Chandigarh,2001,1,Cattle,2,2,50000,50000
Chandigarh,2001,2, Electronic Components,90,210,9320000,23754400
Chandigarh,2001,3, Cultural Property including Antiques,3,7,1290000,2890000
Chandigarh,2001,4,Motor Vehicles,135,482,292970,1468525
Chandigarh,2001,5, Fire Arms/Explosive Substances,400,988,24576400,61812400
Chandigarh,2001,6, Other Property,379,968,8584442,17183984
Chandigarh,2001,7, Robbery,575,1556,17920789,37775231
Chandigarh,2002,1,Cattle,1,1,25000,25000
Chandigarh,2002,2, Electronic Components,104,298,16322000,37064500
Chandigarh,2002,3, Cultural Property including Antiques,3,3,850000,850000
Chandigarh,2002,4,Motor Vehicles,83,491,337490,3176505
Chandigarh,2002,5, Fire Arms/Explosive Substances,460,1234,38504700,87125380
Chandigarh,2002,6, Other Property,297,944,3479222,24607856
Chandigarh,2002,7, Robbery,493,1674,18925015,56258143
Chandigarh,2003,1,Cattle,0,0,0,0
Chandigarh,2003,2, Electronic Components,155,299,19437500,37150386
Chandigarh,2003,3, Cultural Property including Antiques,6,8,1125000,1675000
Chandigarh,2003,4,Motor Vehicles,176,358,1114240,4392768
Chandigarh,2003,5, Fire Arms/Explosive Substances,572,1132,46182000,85689900
Chandigarh,2003,6, Other Property,345,728,4331301,17538110
Chandigarh,2003,7, Robbery,645,1253,25426722,53470934
Chandigarh,2004,1,Cattle,0,0,0,0
Chandigarh,2004,2, Electronic Components,98,289,7784800,22338100
Chandigarh,2004,3, Cultural Property including Antiques,8,21,1428500,3285500
Chandigarh,2004,4,Motor Vehicles,270,436,1979101,4138778
